team_name,model,task,test_score,test_score_std,primary_score,error,embedding_dim,embedding_secs,prediction_gpu_device_name,test_aucroc,test_mAP,test_d_prime,test_top1_acc,test_event_onset_200ms_fms,test_segment_1s_er,test_pitch_acc,test_chroma_acc,test_event_onset_50ms_fms,test_event_onset_offset_50ms_20perc_fms,test_segment_1s_er_error_rate
NTU-GURA,fusion_cat_xwc,vox_lingua_top10-hear2021-full,0.7201850533,0.02138737091,test_top1_acc,,3072,80.58154368,A100-SXM4-40GB,,,,0.7201850533,,,,,,,
NTU-GURA,fusion_hubert_xlarge,vox_lingua_top10-hear2021-full,0.7139677644,0.03189849625,test_top1_acc,,1280,50.10452175,A100-SXM4-40GB,,,,0.7139677644,,,,,,,
NTU-GURA,cat_hubert_wav2vec2,vox_lingua_top10-hear2021-full,0.7057943463,0.03327559694,test_top1_acc,,2048,52.75954294,A100-SXM4-40GB,,,,0.7057943463,,,,,,,
NTU-GURA,fusion_wav2vec2,vox_lingua_top10-hear2021-full,0.7057784796,0.03347039479,test_top1_acc,,1024,27.58171988,A100-SXM4-40GB,,,,0.7057784796,,,,,,,
NTU-GURA,avg_hubert_wav2vec2,vox_lingua_top10-hear2021-full,0.6903568625,0.0322726479,test_top1_acc,,1024,49.22341704,A100-SXM4-40GB,,,,0.6903568625,,,,,,,
NTU-GURA,hubert_xlarge,vox_lingua_top10-hear2021-full,0.6368437767,0.03505234395,test_top1_acc,,1280,49.65489602,A100-SXM4-40GB,,,,0.6368437767,,,,,,,
NTU-GURA,fusion_cat_xwc_time,vox_lingua_top10-hear2021-full,0.6285963535,0.04977173805,test_top1_acc,,15360,80.68673873,A100-SXM4-40GB,,,,0.6285963535,,,,,,,
HEAR,wav2vec2,vox_lingua_top10-hear2021-full,0.4928152204,0.02746457461,test_top1_acc,,1024,27.67919707,A100-SXM4-40GB,,,,0.4928152204,,,,,,,
NTU-GURA,cat_xwc,vox_lingua_top10-hear2021-full,0.4599312723,0.03623568493,test_top1_acc,,3072,84.62748599,A100-SXM4-40GB,,,,0.4599312723,,,,,,,
Logitech AI,serab_byols,vox_lingua_top10-hear2021-full,0.4578059733,0.02295782606,test_top1_acc,,2048,6.669979334,A100-SXM4-40GB,,,,0.4578059733,,,,,,,
MARL + Soundsensing,openl3_hear,vox_lingua_top10-hear2021-full,0.3312979102,0.05209515891,test_top1_acc,,512,79.21147346,A100-SXM4-40GB,,,,0.3312979102,,,,,,,
NTU-GURA,avg_xwc,vox_lingua_top10-hear2021-full,0.3210150659,0.04050230914,test_top1_acc,,1024,79.51293421,A100-SXM4-40GB,,,,0.3210150659,,,,,,,
NTU-GURA,cat_wc,vox_lingua_top10-hear2021-full,0.3096695721,0.01270296077,test_top1_acc,,2048,31.37547255,A100-SXM4-40GB,,,,0.3096695721,,,,,,,
NTU-GURA,avg_hubert_crepe,vox_lingua_top10-hear2021-full,0.2932434559,0.0226497711,test_top1_acc,,1024,55.69676065,A100-SXM4-40GB,,,,0.2932434559,,,,,,,
CP-JKU,base,vox_lingua_top10-hear2021-full,0.2593021393,0.03821368889,test_top1_acc,,1295,124.9893584,A100-SXM4-40GB,,,,0.2593021393,,,,,,,
CP-JKU,base2level,vox_lingua_top10-hear2021-full,0.2593021393,0.03821368889,test_top1_acc,,1295,115.2471325,A100-SXM4-40GB,,,,0.2593021393,,,,,,,
CP-JKU,base2levelmel,vox_lingua_top10-hear2021-full,0.2593021393,0.03821368889,test_top1_acc,,1295,114.9776576,A100-SXM4-40GB,,,,0.2593021393,,,,,,,
RedRice,efficient_latent,vox_lingua_top10-hear2021-full,0.2551308453,0.02295203774,test_top1_acc,,1408,8.3858459,A100-SXM4-40GB,,,,0.2551308453,,,,,,,
Stellenbosch LSL,audio_dbert,vox_lingua_top10-hear2021-full,0.2458524972,0.04487845631,test_top1_acc,,2048,16.2153163,A100-SXM4-40GB,,,,0.2458524972,,,,,,,
CVSSP,panns_hear,vox_lingua_top10-hear2021-full,0.2438329369,0.02083137302,test_top1_acc,,2048,5.930350065,A100-SXM4-40GB,,,,0.2438329369,,,,,,,
UDONS,embed,vox_lingua_top10-hear2021-full,0.2243351847,0.02948301878,test_top1_acc,,768,13.60925531,A100-SXM4-40GB,,,,0.2243351847,,,,,,,
Soundsensing,yamnet_hear,vox_lingua_top10-hear2021-full,0.201649484,0.03002312167,test_top1_acc,,1024,18.41640663,A100-SXM4-40GB,,,,0.201649484,,,,,,,
Descript/MARL,wav2clip_hear,vox_lingua_top10-hear2021-full,0.192371133,0.03536761613,test_top1_acc,,512,3.924509287,A100-SXM4-40GB,,,,0.192371133,,,,,,,
ID56-SSL,kwmlp,vox_lingua_top10-hear2021-full,0.1810890824,0.01543720485,test_top1_acc,,1024,4.290110111,A100-SXM4-40GB,,,,0.1810890824,,,,,,,
ibkuroyagi,hearline,vox_lingua_top10-hear2021-full,0.1800581545,0.02345439278,test_top1_acc,,512,11.55454898,A100-SXM4-40GB,,,,0.1800581545,,,,,,,
AMAAI,my_model,vox_lingua_top10-hear2021-full,0.1685699195,0.07743555473,test_top1_acc,,768,11.17861629,A100-SXM4-40GB,,,,0.1685699195,,,,,,,
HEAR,torchcrepe,vox_lingua_top10-hear2021-full,0.1419825524,0.006063467664,test_top1_acc,,2048,7.764435291,A100-SXM4-40GB,,,,0.1419825524,,,,,,,
ID56-SSL,audiomlp,vox_lingua_top10-hear2021-full,0.1286069244,0.03061692227,test_top1_acc,,1584,5.59446311,A100-SXM4-40GB,,,,0.1286069244,,,,,,,
AMAAI Lab,wav2vec2_ddsp,vox_lingua_top10-hear2021-full,0.1059846669,0.02023660828,test_top1_acc,,871,427.3935895,A100-SXM4-40GB,,,,0.1059846669,,,,,,,
NTU-GURA,fusion_cat_xwc_time,vocal_imitation-v1.1.3-full,0.2152138948,0.007118330114,test_mAP,,15360,607.061424,A100-SXM4-40GB,,0.2152138948,,0.1956793418,,,,,,,
NTU-GURA,fusion_cat_xwc,vocal_imitation-v1.1.3-full,0.1968767891,0.01016358364,test_mAP,,3072,607.4242024,A100-SXM4-40GB,,0.1968767891,,0.18460989,,,,,,,
NTU-GURA,fusion_hubert_xlarge,vocal_imitation-v1.1.3-full,0.1848285844,0.01013771828,test_mAP,,1280,518.6149421,A100-SXM4-40GB,,0.1848285844,,0.1722906629,,,,,,,
CP-JKU,base,vocal_imitation-v1.1.3-full,0.1820111672,0.009389497997,test_mAP,,1295,1209.556448,A100-SXM4-40GB,,0.1820111672,,0.1622924457,,,,,,,
